#Train_Data_Index_start,Train_Data_Index_end,Valid_Data_Index_start,Valid_Data_Index_end
0,48,0,7
49,765,8,87
766,917,88,104
918,966,105,109
967,1090,110,123
1091,1577,124,175
1578,1600,176,177
1601,1619,178,None
1620,1627,179,181
1628,1653,182,184
1654,1683,185,188
1684,1685,None,None
1686,1707,189,190
1708,1726,191,193
1727,1733,None,None
1734,1751,194,195
1752,1760,196,197
1761,1763,None,None
1764,1768,198,None
1769,1786	199 ,200
1787,1804	201 ,202
1805,1813	203
1814,1836	204 ,205
1837,1849	206
1850,1853	207
1854,1887	208 ,211
1888,1910	212 ,213
1911,1926	214 ,215
1927,1934	216
1935,1973	217 ,221
1974,1978	 ,
1979,1995	222
1996,2005	223 ,224
2006,2012	 ,
2013,2044	225 ,228
2045,2059	229 ,230
2060,2076	231
2077,2088	232 ,233
2089,2096	234
2097,2113	235 ,236
2114,2164	237 ,241
2165,2196	242 ,245
2197,2211	246 ,247
2212 ,2250	248 ,250
2251 ,2291	251 ,254
2292 ,2311	255 ,257
2312 ,2342	258 ,260
2343 ,2356	261 ,262
2357 ,2358	 ,
2359 ,2382	263 ,265
2383 ,2388	 ,
2389 ,2402	266 ,267
2403 ,2433	268 ,270
2434 ,2445	271
2446 ,2464	272 ,275
2465 ,2534	276 ,281
2535 ,2569	282 ,285
2570 ,2577	286
2578 ,2585	 ,
2586 ,2590	287
2591 ,2597	288
2598 ,2611	289
2612 ,2622	290 ,291
2623 ,2632	292
2633 ,2650	293 ,294
2651 ,2655	 ,
2656 ,2671	295 ,296
2672 ,2677	297
2678 ,2691	298 ,299
2692 ,2708	300
2709 ,2711	301
2712 ,2714	 ,
2715 ,2745	302 ,305
2746 ,2752	 ,
2753 ,2791	306 ,310
2792 ,2794	 ,
2795 ,2796	 ,
2797 ,2816	311 ,312
2817 ,2832	313 ,314
2833 ,2861	315 ,317
2862 ,2870	318
2871 ,2895	319 ,321
2896 ,2909	322 ,323
2910 ,2914	 ,
2915 ,2916	 ,
2917 ,2939	324 ,326
2940 ,2961	327 ,329
2962 ,2984	330 ,331
2985 ,3020	332 ,335
3021 ,3027	 ,
3028 ,3040	336 ,337
3041	338
3042 ,3065	339 ,340
3066 ,3071	341
3072 ,3118	342 ,346
3119 ,3142	347 ,349
3143 ,3169	350 ,352
3170 ,3203	353 ,356
3204 ,3225	357 ,358
3226 ,3230	359
3231 ,3234	 ,
3235 ,3253	360 ,361
3254 ,3275	362 ,364
3276 ,3283	365
3284 ,3307	366 ,367
3308 ,3347	368 ,372
3348 ,3349	 ,
3350 ,3355	373
3356 ,3366	374
3367 ,3391	375 ,376
3392 ,3427	377 ,381
3428 ,3447	382 ,383
3448 ,3452	 ,
3453 ,3468	384 ,385
3469 ,3470	386
3471 ,3491	387 ,388
3492 ,3514	389 ,390
3515 ,3552	391 ,395
3553 ,3568	396
3569	397
3570 ,3571	 ,
3572 ,3589	398 ,399
3590 ,3620	400 ,402
3621 ,3626	403
3627 ,3644	404 ,405
3645 ,3647	 ,
3648 ,3651	406
3652 ,3657	407
3658 ,3666	408
3667 ,3691	409 ,410
3692 ,3696	411
3697 ,3720	412 ,414
3721 ,3753	415 ,417
3754 ,3776	418 ,420
3777 ,3779	 ,
3780 ,3789	421
3790 ,3803	422 ,423
3804 ,3826	424 ,425
3827 ,3836	426 ,427
3837 ,3841	 ,
3842 ,3861	428 ,429
3862 ,3895	430 ,433
3896 ,3915	434 ,435
3916 ,3919	436
3920 ,3957	437 ,440
3958 ,3997	441 ,445
3998 ,4043	446 ,451
4044 ,4147	452 ,462
4148 ,4165	463 ,464
4166 ,4205	465 ,469
4206 ,5082	470 ,565
5083 ,6250	566 ,696
6251 ,6285	697 ,700
6286 ,6732	701 ,749
6733 ,7465	750 ,831
7465 ,8198	832 ,913
8199 ,8927	914 ,991
8928 ,8940	992 ,993
8941 ,8948	994
8949	 ,
8950 ,8968	995
8969 ,8975	996
8976 ,9925	997 ,1100
9926 ,10878	1101 ,1208
10879 ,11837	1209 ,1315
11838 ,11856	1316 ,1317
